Spalte;Default;DataType;LogScale;Condition
@0:S:sat-prepro;yes;OneHot;0;?
@0:sat-prepro;0;OneHot;0;@0:S:sat-prepro__in__{no}
@0:1:sat-prepro;10;Integer;1;@0:S:sat-prepro__in__{yes}
@0:2:sat-prepro;25;Integer;1;@0:S:sat-prepro__in__{yes}
@0:3:sat-prepro;-1;OneHot;0;@0:S:sat-prepro__in__{yes}
@0:4:sat-prepro;100;Integer;0;@0:S:sat-prepro__in__{yes}
@0:5:sat-prepro;1;OneHot;0;@0:S:sat-prepro__in__{yes}
@1:heuristic;Vsids;OneHot;0;?
@1:F:init-moms;no;OneHot;0;?
@1:sign-def;1;OneHot;0;?
@1:F:sign-fix;no;OneHot;0;?
@1:berk-max;1;Integer;1;@1:heuristic__in__{Berkmin}
@1:F:berk-huang;no;OneHot;0;@1:heuristic__in__{Berkmin}
@1:F:berk-once;no;OneHot;0;@1:heuristic__in__{Berkmin}
@1:vmtf-mtf;8;Integer;1;@1:heuristic__in__{Vmtf}
@1:vsids-decay;95;Integer;0;@1:heuristic__in__{Vsids}
@1:save-progress;180;Integer;0;?
@1:init-watches;2;OneHot;0;?
@1:1:lookahead;no;OneHot;0;?
@1:2:lookahead;1;Integer;1;@1:1:lookahead__in__{atom,body,hybrid}
@1:rand-freq;0;OneHot;0;?
@1:0:restarts;x;OneHot;0;?
@1:1:Simp:restarts;128;Integer;1;@1:0:restarts__in__{F,L,x,+}
@1:1:Dyn:restarts;100;Integer;1;@1:0:restarts__in__{D}
@1:S:Luby:aryrestarts;1;OneHot;0;@1:0:restarts__in__{L}
@1:2:Luby:restarts;1000;Integer;1;@1:0:restarts__in__{L}#@1:S:Luby:aryrestarts__in__{2}
@1:S:Geo:aryrestarts;2;OneHot;0;@1:0:restarts__in__{x}
@1:2:Geo:restarts;1.5;Float;0;@1:0:restarts__in__{x}
@1:3:Geo:restarts;1;Integer;1;@1:0:restarts__in__{x}#@1:S:Geo:aryrestarts__in__{3}
@1:S:Ari:aryrestarts;2;OneHot;0;@1:0:restarts__in__{+}
@1:2:Ari:restarts;100;Integer;1;@1:0:restarts__in__{+}
@1:3:Ari:restarts;1;Integer;1;@1:0:restarts__in__{+}#@1:S:Ari:aryrestarts__in__{3}
@1:S:Dyn:aryrestarts;2;OneHot;0;@1:0:restarts__in__{D}
@1:2:Dyn:restarts;0.7;Float;0;@1:0:restarts__in__{D}
@1:3:Dyn:restarts;30;Integer;1;@1:0:restarts__in__{D}
@1:F:local-restarts;no;OneHot;0;?
@1:S:counterCond;yes;OneHot;0;?
@1:counter-restarts;3;Integer;1;@1:S:counterCond__in__{yes}#@1:0:restarts__in__{F,D,L,x,+}
@1:counter-bump;10;Integer;1;@1:S:counterCond__in__{yes}#@1:0:restarts__in__{F,D,L,x,+}
@1:S:deletion;yes;OneHot;0;?
@1:deletion;no;OneHot;0;@1:S:deletion__in__{no}
@1:1:deletion;basic;OneHot;0;@1:S:deletion__in__{yes}
@1:2:deletion;75;Integer;0;@1:S:deletion__in__{yes}
@1:3:deletion;0;OneHot;0;@1:S:deletion__in__{yes}
@1:1:del-init;3;Float;0;@1:S:deletion__in__{yes}
@1:2:del-init;1000;Integer;1;@1:S:deletion__in__{yes}
@1:3:del-init;9000;Integer;0;@1:S:deletion__in__{yes}
@1:del-max;250000;Integer;0;@1:S:deletion__in__{yes}
@1:del-on-restart;0;Integer;0;@1:S:deletion__in__{yes}
@1:1:del-glue;2;Integer;0;@1:S:deletion__in__{yes}
@1:2:del-glue;0;OneHot;0;@1:S:deletion__in__{yes}
@1:0:del-cfl;no;OneHot;0;@1:S:deletion__in__{yes}
@1:1:del-cfl;128;Integer;1;@1:0:del-cfl__in__{F,L,x,+}
@1:2:G:del-cfl;1.5;Float;0;@1:0:del-cfl__in__{x}
@1:2:A:del-cfl;100;Integer;1;@1:0:del-cfl__in__{+}
@1:3:del-cfl;10;Integer;1;@1:0:del-cfl__in__{x,+}
@1:S:del-grow;yes;OneHot;0;?
@1:del-grow;0;OneHot;0;@1:S:del-grow__in__{no}
@1:1:del-grow;1.1;Float;0;@1:S:del-grow__in__{yes}
@1:2:del-grow;20;Float;0;@1:S:del-grow__in__{yes}
@1:S:growSched;no;OneHot;0;@1:S:del-grow__in__{yes}
@1:3:del-grow;+;OneHot;0;@1:S:growSched__in__{yes}
@1:4:del-grow;128;Integer;1;@1:S:growSched__in__{yes}
@1:5:G:del-grow;1.5;Float;0;@1:3:del-grow__in__{x}
@1:5:A:del-grow;100;Integer;1;@1:3:del-grow__in__{+}
@1:6:del-grow;10;Integer;1;@1:3:del-grow__in__{x,+}
@1:0:strengthen;local;OneHot;0;?
@1:1:strengthen;0;OneHot;0;@1:0:strengthen__in__{local,recursive}
@1:otfs;2;OneHot;0;?
@1:update-lbd;0;OneHot;0;?
@1:F:update-act;no;OneHot;0;?
@1:reverse-arcs;1;OneHot;0;?
@1:S:contraction;no;OneHot;0;?
@1:No:contraction;no;OneHot;0;@1:S:contraction__in__{no}
@1:contraction;250;Integer;1;@1:S:contraction__in__{yes}
