Spalte;Default;DataType;Condition;LogScale
actavgmax;112;Integer;?;0
actdblarithlim;3;Integer;?;0
actgeomlim;2;Integer;?;0
actgsdul;7;Integer;?;0
acts;2;OneHot;?;0
actstdmax;112;Integer;?;0
actstdmin;10;Integer;?;0
actvlim;200000;Integer;?;0
agile;1;OneHot;?;0
agilelim;30;Integer;?;0
agilesinint;100000;Integer;?;1
bate;1;OneHot;?;0
batewait;2;OneHot;?;0
bca;1;OneHot;?;0
bcamaxeff;10000000;Integer;?;0
bcaminuse;100;Integer;?;0
bcawait;2;OneHot;?;0
bva;0;OneHot;?;0
bias;2;OneHot;?;0
binlocsdel;10;Integer;?;0
binsimpdel;2;Integer;?;0
bkwdscale;2;Integer;?;1
blkboost;10;Integer;?;1
blkboostvlim;1000000;Integer;?;0
blkclslim;1000000;Integer;?;1
blklarge;1;OneHot;?;0
blkmaxeff;800000000;Integer;?;0
blkmineff;50000000;Integer;?;0
blkocclim;1000000;Integer;?;1
blkocclim1;100000;Integer;?;1
blkocclim2;10000;Integer;?;1
blkreleff;100;Integer;?;0
blkrtc;0;OneHot;?;0
blksched2b2;0;OneHot;?;0
blkschedmin;0;OneHot;?;0
blkschedprod;0;OneHot;?;0
blkschedpure;1;OneHot;?;0
blkschedsum;1;OneHot;?;0
blksmall;1;OneHot;?;0
blksuccesslim;10000;Integer;?;0
blksuccessrat;1000;Integer;?;1
block;1;OneHot;?;0
blockwait;1;OneHot;?;0
boost;1;OneHot;?;0
bumpbcplits;0;OneHot;?;0
bumpclslits;0;OneHot;?;0
bumpseenaftermin;0;OneHot;?;0
bumpseenbeforemin;1;OneHot;?;0
bumpseenlits;1;OneHot;?;0
bumpseenminsize;3;Integer;?;0
card;1;OneHot;?;0
cardcut;2;OneHot;?;0
cardexpam1;3;Integer;?;1
cardglue;0;Integer;?;0
cardignused;0;OneHot;?;0
cardmaxeff;300000000;Integer;?;0
cardmaxlen;1000;Integer;?;0
cardmineff;2000000;Integer;?;0
cardminlen;3;Integer;?;0
cardocclim1;300;Integer;?;0
cardocclim2;15;Integer;?;0
cardreleff;5;Integer;?;0
cardreschedint;10;Integer;?;1
carduse;2;OneHot;?;0
cardwait;0;OneHot;?;0
cce;3;OneHot;?;0
